patch_name,y,x
IMG_2203_p12.png,2048,0
IMG_2244_p0.png,0,0
IMG_2244_p1.png,0,512
IMG_2244_p2.png,0,1024
IMG_2244_p3.png,512,0
IMG_2244_p4.png,512,1024
IMG_2244_p5.png,512,1536
IMG_2244_p6.png,512,2560
IMG_2244_p7.png,512,3072
IMG_2244_p8.png,1024,1024
IMG_2244_p9.png,1024,1536
IMG_2244_p10.png,1024,2048
IMG_2244_p11.png,1536,2048
IMG_2244_p12.png,2048,1536
IMG_2209_p0.png,512,1536
IMG_2209_p1.png,512,2048
IMG_2209_p2.png,512,2560
IMG_2209_p3.png,1024,2048
IMG_2209_p4.png,1024,2560
IMG_2209_p5.png,1536,2048
IMG_2209_p6.png,1536,2560
IMG_2209_p7.png,2048,1536
IMG_2209_p8.png,2048,2048
IMG_2209_p9.png,2048,2560
IMG_2279_p0.png,0,3072
IMG_2279_p1.png,512,2048
IMG_2279_p2.png,512,2560
IMG_2279_p3.png,1024,2048
IMG_2279_p4.png,1024,2560
IMG_2279_p5.png,1024,3072
IMG_2279_p6.png,1536,1536
IMG_2279_p7.png,1536,2048
IMG_2279_p8.png,1536,2560
IMG_2279_p9.png,1536,3072
IMG_2279_p10.png,2048,1024
IMG_2279_p11.png,2048,1536
IMG_2279_p12.png,2048,2560
IMG_2279_p13.png,2048,3072
IMG_2290_p0.png,0,1536
IMG_2290_p1.png,0,2048
IMG_2290_p2.png,512,1536
IMG_2290_p3.png,512,2048
IMG_2290_p4.png,1024,1024
IMG_2290_p5.png,1024,1536
IMG_2290_p6.png,1024,2048
IMG_2290_p7.png,1024,2560
IMG_2290_p8.png,1536,1536
IMG_2290_p9.png,1536,2048
IMG_2290_p10.png,1536,2560
IMG_2290_p11.png,2048,2048
IMG_2290_p12.png,2048,2560
IMG_2117_p0.png,0,1024
IMG_2117_p1.png,512,1024
IMG_2117_p2.png,512,1536
IMG_2117_p3.png,512,2560
IMG_2117_p4.png,1024,1024
IMG_2117_p5.png,1024,1536
IMG_2117_p6.png,1024,2048
IMG_2117_p7.png,1024,2560
IMG_2117_p8.png,1536,1536
IMG_2117_p9.png,1536,2048
IMG_2296_p0.png,0,0
IMG_2296_p1.png,0,512
IMG_2296_p2.png,0,1024
IMG_2296_p3.png,0,2048
IMG_2296_p4.png,512,512
IMG_2296_p5.png,512,1024
IMG_2296_p6.png,512,2048
IMG_2296_p7.png,1024,1024
IMG_2296_p8.png,1024,2560
IMG_2296_p9.png,1024,3072
IMG_2296_p10.png,1536,1024
IMG_2296_p11.png,1536,2560
IMG_2301_p0.png,512,2048
IMG_2301_p1.png,1024,2560
IMG_2301_p2.png,1536,512
IMG_2301_p3.png,1536,1024
IMG_2301_p4.png,1536,1536
IMG_2301_p5.png,1536,2048
IMG_2301_p6.png,1536,2560
IMG_2301_p7.png,1536,3072
IMG_2301_p8.png,2048,512
IMG_2301_p9.png,2048,1024
IMG_2301_p10.png,2048,1536
IMG_2301_p11.png,2048,2048
IMG_2301_p12.png,2048,3072
IMG_2178_p0.png,0,1536
IMG_2178_p1.png,0,2560
IMG_2178_p2.png,0,3072
IMG_2178_p3.png,512,1536
IMG_2178_p4.png,1024,512
IMG_2178_p5.png,1024,1024
IMG_2178_p6.png,1536,512
IMG_2178_p7.png,1536,1024
IMG_2178_p8.png,1536,1536
IMG_2262_p0.png,1024,1536
IMG_2262_p1.png,1024,2048
IMG_2262_p2.png,1024,2560
IMG_2262_p3.png,1024,3072
IMG_2262_p4.png,1536,1536
IMG_2262_p5.png,1536,2048
IMG_2262_p6.png,1536,2560
IMG_2262_p7.png,1536,3072
IMG_2262_p8.png,2048,512
IMG_2262_p9.png,2048,1024
IMG_2262_p10.png,2048,1536
IMG_2262_p11.png,2048,2048
IMG_2262_p12.png,2048,2560
IMG_2177_p0.png,512,2560
IMG_2177_p1.png,512,3072
IMG_2177_p2.png,1024,512
IMG_2177_p3.png,1024,1024
IMG_2177_p4.png,1024,1536
IMG_2177_p5.png,1024,3072
IMG_2177_p6.png,1536,1024
IMG_2177_p7.png,1536,1536
IMG_2177_p8.png,1536,2048
IMG_2177_p9.png,2048,1536
IMG_2177_p10.png,2048,2560
IMG_2212_p0.png,0,2048
IMG_2212_p1.png,0,2560
IMG_2212_p2.png,0,3072
IMG_2212_p3.png,512,1536
IMG_2212_p4.png,512,2048
IMG_2212_p5.png,512,3072
IMG_2212_p6.png,1024,1536
IMG_2212_p7.png,1024,2048
IMG_2287_p0.png,0,3072
IMG_2287_p1.png,1024,1536
IMG_2287_p2.png,1024,2048
IMG_2287_p3.png,1536,512
